country_or_region,year,material_type,management_type,quantity
Algeria,None,food_organic_waste,,54.4
Algeria,None,food_organic_waste,,64.6
Ecuador,None,food_organic_waste,,56.95
"Egypt, Arab Rep.",None,food_organic_waste,,56.0
Spain,None,food_organic_waste,,37.2
Spain,None,food_organic_waste,,
Estonia,None,food_organic_waste,,22.0
Estonia,None,food_organic_waste,,0.93
Ethiopia,None,food_organic_waste,,39.0
Ethiopia,None,food_organic_waste,,77.15
Ethiopia,None,food_organic_waste,,44.45
Ethiopia,None,food_organic_waste,,52.75
Ethiopia,None,food_organic_waste,,52.0
Ethiopia,None,food_organic_waste,,75.5
Ethiopia,None,food_organic_waste,,52.5
Ethiopia,None,food_organic_waste,,67.0
Ethiopia,None,food_organic_waste,,52.01
Ethiopia,None,food_organic_waste,,68.0
Ethiopia,None,food_organic_waste,,88.8
Ethiopia,None,food_organic_waste,,57.0
Finland,None,food_organic_waste,,
Finland,None,food_organic_waste,,48.4
Finland,None,food_organic_waste,,42.8
Fiji,None,food_organic_waste,,49.5
France,None,food_organic_waste,,
France,None,food_organic_waste,,22.2
"Micronesia, Fed. Sts.",None,food_organic_waste,,15.6
Gabon,None,food_organic_waste,,
United Kingdom,None,food_organic_waste,,34.0
United Kingdom,None,food_organic_waste,,48.0
Georgia,None,food_organic_waste,,69.5
Ghana,None,food_organic_waste,,65.8
Ghana,None,food_organic_waste,,48.4
Guinea,None,food_organic_waste,,85.0
"Gambia, The",None,food_organic_waste,,32.44
Equatorial Guinea,None,food_organic_waste,,69.0
Greece,None,food_organic_waste,,
Greece,None,food_organic_waste,,44.3
Guatemala,None,food_organic_waste,,34.2
Guatemala,None,food_organic_waste,,49.3
Guatemala,None,food_organic_waste,,42.9
Honduras,None,food_organic_waste,,40.0
Honduras,None,food_organic_waste,,68.78
Croatia,None,food_organic_waste,,21.4
Croatia,None,food_organic_waste,,
Haiti,None,food_organic_waste,,53.0
Hungary,None,food_organic_waste,,36.95
Hungary,None,food_organic_waste,,23.2
Indonesia,None,food_organic_waste,,55.37
Isle of Man,None,food_organic_waste,,
India,None,food_organic_waste,,51.0
India,None,food_organic_waste,,
India,None,food_organic_waste,,
India,None,food_organic_waste,,
India,None,food_organic_waste,,53.0
India,None,food_organic_waste,,
India,None,food_organic_waste,,48.22
India,None,food_organic_waste,,
India,None,food_organic_waste,,
India,None,food_organic_waste,,33.0
India,None,food_organic_waste,,
India,None,food_organic_waste,,13.22
India,None,food_organic_waste,,77.0
India,None,food_organic_waste,,
India,None,food_organic_waste,,
India,None,food_organic_waste,,53.0
India,None,food_organic_waste,,47.89
India,None,food_organic_waste,,51.97
India,None,food_organic_waste,,31.64
India,None,food_organic_waste,,48.0
India,None,food_organic_waste,,47.0
India,None,food_organic_waste,,34.0
India,None,food_organic_waste,,62.5
India,None,food_organic_waste,,
India,None,food_organic_waste,,42.0
India,None,food_organic_waste,,
India,None,food_organic_waste,,28.0
India,None,food_organic_waste,,53.0
India,None,food_organic_waste,,52.0
India,None,food_organic_waste,,
India,None,food_organic_waste,,
India,None,food_organic_waste,,70.3
India,None,food_organic_waste,,
India,None,food_organic_waste,,55.94
India,None,food_organic_waste,,60.0
India,None,food_organic_waste,,
India,None,food_organic_waste,,
India,None,food_organic_waste,,8.0
India,None,food_organic_waste,,59.0
India,None,food_organic_waste,,76.95
India,None,food_organic_waste,,53.0
India,None,food_organic_waste,,37.0
India,None,food_organic_waste,,
India,None,food_organic_waste,,57.4
India,None,food_organic_waste,,
India,None,food_organic_waste,,55.0
India,None,food_organic_waste,,51.14
Ireland,None,food_organic_waste,,27.0
"Iran, Islamic Rep.",None,food_organic_waste,,69.3
Iraq,None,food_organic_waste,,
Israel,None,food_organic_waste,,
Israel,None,food_organic_waste,,
Italy,None,food_organic_waste,,22.98
Italy,None,food_organic_waste,,37.4
Jordan,None,food_organic_waste,,50.0
Japan,None,food_organic_waste,,34.56
Japan,None,food_organic_waste,,36.71
Japan,None,food_organic_waste,,10.4
Japan,None,food_organic_waste,,6.3
Japan,None,food_organic_waste,,49.1
Japan,None,food_organic_waste,,34.5
Kazakhstan,None,food_organic_waste,,32.5
Kazakhstan,None,food_organic_waste,,
Kenya,None,food_organic_waste,,
Kenya,None,food_organic_waste,,50.9
Kyrgyz Republic,None,food_organic_waste,,64.19
Kyrgyz Republic,None,food_organic_waste,,37.0
Cambodia,None,food_organic_waste,,70.0
Kiribati,None,food_organic_waste,,74.0
"Korea, Rep.",None,food_organic_waste,,9.4
Kuwait,None,food_organic_waste,,
Lao PDR,None,food_organic_waste,,34.0
Lebanon,None,food_organic_waste,,52.0
Lebanon,None,food_organic_waste,,50.0
Liberia,None,food_organic_waste,,40.0
Libya,None,food_organic_waste,,36.3
Sri Lanka,None,food_organic_waste,,52.5
Sri Lanka,None,food_organic_waste,,52.0
Sri Lanka,None,food_organic_waste,,12.0
Sri Lanka,None,food_organic_waste,,68.9
Sri Lanka,None,food_organic_waste,,52.5
Sri Lanka,None,food_organic_waste,,70.9
Lithuania,None,food_organic_waste,,24.3
Lithuania,None,food_organic_waste,,23.25
Latvia,None,food_organic_waste,,26.0
Latvia,None,food_organic_waste,,
Morocco,None,food_organic_waste,,
Morocco,None,food_organic_waste,,66.0
Morocco,None,food_organic_waste,,65.0
Moldova,None,food_organic_waste,,20.2
Moldova,None,food_organic_waste,,74.0
Madagascar,None,food_organic_waste,,24.3
Maldives,None,food_organic_waste,,48.76
Maldives,None,food_organic_waste,,40.0
Maldives,None,food_organic_waste,,19.57
Mexico,None,food_organic_waste,,49.5
Mexico,None,food_organic_waste,,33.68
Mexico,None,food_organic_waste,,31.24
Marshall Islands,None,food_organic_waste,,42.7
"Macedonia, FYR",None,food_organic_waste,,7.6
"Macedonia, FYR",None,food_organic_waste,,15.2
Mali,None,food_organic_waste,,36.2
Mali,None,food_organic_waste,,
Myanmar,None,food_organic_waste,,65.0
Myanmar,None,food_organic_waste,,69.0
Montenegro,None,food_organic_waste,,37.0
Montenegro,None,food_organic_waste,,
Mongolia,None,food_organic_waste,,29.5
Northern Mariana Islands,None,food_organic_waste,,
Mozambique,None,food_organic_waste,,68.0
Mauritania,None,food_organic_waste,,5.0
Malawi,None,food_organic_waste,,
Malawi,None,food_organic_waste,,
Malaysia,None,food_organic_waste,,42.02
Namibia,None,food_organic_waste,,36.0
Niger,None,food_organic_waste,,38.0
Nigeria,None,food_organic_waste,,61.0
Nigeria,None,food_organic_waste,,53.0
Nigeria,None,food_organic_waste,,43.0
Nigeria,None,food_organic_waste,,56.7
Nigeria,None,food_organic_waste,,42.0
Nicaragua,None,food_organic_waste,,77.0
Nicaragua,None,food_organic_waste,,71.72
Netherlands,None,food_organic_waste,,21.5
Netherlands,None,food_organic_waste,,39.0
Norway,None,food_organic_waste,,20.0
Norway,None,food_organic_waste,,
Nepal,None,food_organic_waste,,61.13
Nepal,None,food_organic_waste,,56.34
Nepal,None,food_organic_waste,,48.66
Nepal,None,food_organic_waste,,55.08
Nepal,None,food_organic_waste,,53.24
Nepal,None,food_organic_waste,,57.07
Nepal,None,food_organic_waste,,51.06
Nepal,None,food_organic_waste,,74.23
Nepal,None,food_organic_waste,,50.49
Nepal,None,food_organic_waste,,51.68
Nepal,None,food_organic_waste,,71.07
Nepal,None,food_organic_waste,,62.68
New Zealand,None,food_organic_waste,,55.5
New Zealand,None,food_organic_waste,,19.0
Oman,None,food_organic_waste,,
Pakistan,None,food_organic_waste,,21.0
Pakistan,None,food_organic_waste,,65.0
Pakistan,None,food_organic_waste,,39.7
Panama,None,food_organic_waste,,45.0
Panama,None,food_organic_waste,,
Panama,None,food_organic_waste,,
Peru,None,food_organic_waste,,47.9
Philippines,None,food_organic_waste,,67.0
Philippines,None,food_organic_waste,,53.95
Palau,None,food_organic_waste,,7.0
Papua New Guinea,None,food_organic_waste,,29.6
Poland,None,food_organic_waste,,
Poland,None,food_organic_waste,,29.22
Portugal,None,food_organic_waste,,41.0
Portugal,None,food_organic_waste,,36.42
Paraguay,None,food_organic_waste,,37.4
Paraguay,None,food_organic_waste,,57.1
Paraguay,None,food_organic_waste,,20.0
West Bank and Gaza,None,food_organic_waste,,
Qatar,None,food_organic_waste,,
Romania,None,food_organic_waste,,50.5
Romania,None,food_organic_waste,,64.52
Russian Federation,None,food_organic_waste,,22.0
Russian Federation,None,food_organic_waste,,23.1
Russian Federation,None,food_organic_waste,,17.0
Rwanda,None,food_organic_waste,,66.86
Rwanda,None,food_organic_waste,,
Saudi Arabia,None,food_organic_waste,,45.0
Saudi Arabia,None,food_organic_waste,,55.9
Senegal,None,food_organic_waste,,
Solomon Islands,None,food_organic_waste,,53.0
Sierra Leone,None,food_organic_waste,,59.2
El Salvador,None,food_organic_waste,,58.0
Somalia,None,food_organic_waste,,21.2
Serbia,None,food_organic_waste,,30.93
Serbia,None,food_organic_waste,,40.73
South Sudan,None,food_organic_waste,,31.0
Slovak Republic,None,food_organic_waste,,42.35
Slovak Republic,None,food_organic_waste,,50.17
Slovenia,None,food_organic_waste,,
Sweden,None,food_organic_waste,,11.0
Sweden,None,food_organic_waste,,37.6
Syrian Arab Republic,None,food_organic_waste,,57.3
Togo,None,food_organic_waste,,38.0
Thailand,None,food_organic_waste,,42.72
Tajikistan,None,food_organic_waste,,
Tajikistan,None,food_organic_waste,,4.5
Turkmenistan,None,food_organic_waste,,19.0
Timor-Leste,None,food_organic_waste,,12.0
Tonga,None,food_organic_waste,,51.3
Tonga,None,food_organic_waste,,51.3
Tunisia,None,food_organic_waste,,46.7
Tunisia,None,food_organic_waste,,68.0
Tunisia,None,food_organic_waste,,65.0
Turkey,None,food_organic_waste,,40.6
Turkey,None,food_organic_waste,,39.4
Tuvalu,None,food_organic_waste,,52.4
Tanzania,None,food_organic_waste,,45.0
Tanzania,None,food_organic_waste,,65.0
Tanzania,None,food_organic_waste,,55.0
Uganda,None,food_organic_waste,,73.8
Ukraine,None,food_organic_waste,,20.6
Ukraine,None,food_organic_waste,,35.0
Uruguay,None,food_organic_waste,,40.95
United States,None,food_organic_waste,,53.8
United States,None,food_organic_waste,,83.86
United States,None,food_organic_waste,,
Uzbekistan,None,food_organic_waste,,
Uzbekistan,None,food_organic_waste,,38.4
"Venezuela, RB",None,food_organic_waste,,50.0
Vietnam,None,food_organic_waste,,59.1
Vietnam,None,food_organic_waste,,69.0
Vanuatu,None,food_organic_waste,,62.8
Samoa,None,food_organic_waste,,3.8
Kosovo,None,food_organic_waste,,
Kosovo,None,food_organic_waste,,40.87
"Yemen, Rep.",None,food_organic_waste,,65.0
South Africa,None,food_organic_waste,,
South Africa,None,food_organic_waste,,47.0
South Africa,None,food_organic_waste,,9.0
South Africa,None,food_organic_waste,,42.6
South Africa,None,food_organic_waste,,42.5
Zambia,None,food_organic_waste,,40.0
Zambia,None,food_organic_waste,,40.0
Zimbabwe,None,food_organic_waste,,60.0
Zimbabwe,None,food_organic_waste,,28.0
Zimbabwe,None,food_organic_waste,,62.3
Zimbabwe,None,food_organic_waste,,62.8
Zimbabwe,None,food_organic_waste,,22.61
Zimbabwe,None,food_organic_waste,,62.4
Zimbabwe,None,food_organic_waste,,52.0
Zimbabwe,None,food_organic_waste,,15.0
Zimbabwe,None,food_organic_waste,,32.0
,None,food_organic_waste,,
Afghanistan,None,glass,,1.1175
Afghanistan,None,glass,,2.311
Afghanistan,None,glass,,1.32
Afghanistan,None,glass,,1.0
Afghanistan,None,glass,,1.47
Angola,None,glass,,6.0
Albania,None,glass,,2.0
Albania,None,glass,,4.47
United Arab Emirates,None,glass,,4.0
United Arab Emirates,None,glass,,3.42
Argentina,None,glass,,3.0
Argentina,None,glass,,4.93
Argentina,None,glass,,6.0
Armenia,None,glass,,6.0
Armenia,None,glass,,6.75
American Samoa,None,glass,,3.4
Australia,None,glass,,6.8
Australia,None,glass,,3.0
Australia,None,glass,,7.0
Austria,None,glass,,8.3
Azerbaijan,None,glass,,6.4
Burundi,None,glass,,
Burundi,None,glass,,
Burundi,None,glass,,
Burundi,None,glass,,
Belgium,None,glass,,22.0
Belgium,None,glass,,
Benin,None,glass,,
Benin,None,glass,,0.86
Burkina Faso,None,glass,,
Burkina Faso,None,glass,,3.0
Bangladesh,None,glass,,0.63
Bangladesh,None,glass,,0.22
Bangladesh,None,glass,,0.59
Bangladesh,None,glass,,4.085
Bangladesh,None,glass,,0.3
Bulgaria,None,glass,,
Bulgaria,None,glass,,
Bahrain,None,glass,,
Bosnia and Herzegovina,None,glass,,4.9
Bosnia and Herzegovina,None,glass,,14.0
Belarus,None,glass,,5.88
Belarus,None,glass,,14.6
Belize,None,glass,,6.0
Belize,None,glass,,9.0
Bolivia,None,glass,,2.6
Brazil,None,glass,,0.6
Brazil,None,glass,,3.5
Brazil,None,glass,,1.0
Bhutan,None,glass,,2.3
Bhutan,None,glass,,3.7
Botswana,None,glass,,6.4
Canada,None,glass,,3.5
Canada,None,glass,,
Canada,None,glass,,2.0
Switzerland,None,glass,,
Switzerland,None,glass,,
Chile,None,glass,,4.0
China,None,glass,,1.6
Côte d’Ivoire,None,glass,,2.0
Cameroon,None,glass,,1.6
Cameroon,None,glass,,
Cameroon,None,glass,,
Cameroon,None,glass,,
"Congo, Dem. Rep.",None,glass,,
"Congo, Rep.",None,glass,,2.1
Colombia,None,glass,,1.06
Colombia,None,glass,,1.07
Colombia,None,glass,,2.56
Comoros,None,glass,,
Costa Rica,None,glass,,2.0
Costa Rica,None,glass,,0.9
Cuba,None,glass,,11.0
Cyprus,None,glass,,5.0
Cyprus,None,glass,,
Czech Republic,None,glass,,
Czech Republic,None,glass,,
Germany,None,glass,,4.27
Germany,None,glass,,6.0
Djibouti,None,glass,,
Denmark,None,glass,,
Dominican Republic,None,glass,,5.0
Algeria,None,glass,,1.16
Algeria,None,glass,,2.8
Ecuador,None,glass,,1.62
"Egypt, Arab Rep.",None,glass,,3.0
Spain,None,glass,,8.9
Spain,None,glass,,21.73
Estonia,None,glass,,13.0
Estonia,None,glass,,0.02
Ethiopia,None,glass,,3.65
Ethiopia,None,glass,,
Ethiopia,None,glass,,1.15
Ethiopia,None,glass,,0.55
Ethiopia,None,glass,,3.0
Ethiopia,None,glass,,
Ethiopia,None,glass,,2.5
Ethiopia,None,glass,,1.0
Ethiopia,None,glass,,1.49
Ethiopia,None,glass,,0.7
Ethiopia,None,glass,,
Ethiopia,None,glass,,0.49
Finland,None,glass,,
Finland,None,glass,,1.6
Finland,None,glass,,1.5
Fiji,None,glass,,2.5
France,None,glass,,
France,None,glass,,6.8
"Micronesia, Fed. Sts.",None,glass,,5.7
Gabon,None,glass,,
United Kingdom,None,glass,,12.0
United Kingdom,None,glass,,1.0
Georgia,None,glass,,2.4
Ghana,None,glass,,2.8
Ghana,None,glass,,2.9
Guinea,None,glass,,0.8
"Gambia, The",None,glass,,1.48
Equatorial Guinea,None,glass,,0.3
Greece,None,glass,,9.15
Greece,None,glass,,4.3
Guatemala,None,glass,,2.8
Guatemala,None,glass,,2.2
Guatemala,None,glass,,3.4
Honduras,None,glass,,4.0
Honduras,None,glass,,1.44
Croatia,None,glass,,5.6
Croatia,None,glass,,
Haiti,None,glass,,2.1
Hungary,None,glass,,3.47
Hungary,None,glass,,6.0
Indonesia,None,glass,,1.91
Isle of Man,None,glass,,
India,None,glass,,3.0
India,None,glass,,
India,None,glass,,
India,None,glass,,
India,None,glass,,1.0
India,None,glass,,
India,None,glass,,1.66
India,None,glass,,
India,None,glass,,
India,None,glass,,5.0
India,None,glass,,
India,None,glass,,0.54
India,None,glass,,
India,None,glass,,
India,None,glass,,
India,None,glass,,3.0
India,None,glass,,3.61
India,None,glass,,0.24
India,None,glass,,0.11
India,None,glass,,3.0
India,None,glass,,
India,None,glass,,10.0
India,None,glass,,
India,None,glass,,
India,None,glass,,0.85
India,None,glass,,
India,None,glass,,1.0
India,None,glass,,
India,None,glass,,
India,None,glass,,
India,None,glass,,
India,None,glass,,
India,None,glass,,
India,None,glass,,1.39
India,None,glass,,2.0
India,None,glass,,
India,None,glass,,
India,None,glass,,0.0
India,None,glass,,0.5
India,None,glass,,
India,None,glass,,
India,None,glass,,
India,None,glass,,
India,None,glass,,0.83
India,None,glass,,
India,None,glass,,9.0
India,None,glass,,
Ireland,None,glass,,16.0
"Iran, Islamic Rep.",None,glass,,1.9
Iraq,None,glass,,
Israel,None,glass,,
Israel,None,glass,,
Italy,None,glass,,0.4
Italy,None,glass,,1.4
Jordan,None,glass,,3.0
Japan,None,glass,,1.19
Japan,None,glass,,0.27
Japan,None,glass,,1.8
Japan,None,glass,,
Japan,None,glass,,0.6
Japan,None,glass,,0.2
Kazakhstan,None,glass,,4.3
Kazakhstan,None,glass,,
Kenya,None,glass,,
Kenya,None,glass,,2.0
Kyrgyz Republic,None,glass,,4.67
Kyrgyz Republic,None,glass,,1.0
Cambodia,None,glass,,2.0
Kiribati,None,glass,,2.6
"Korea, Rep.",None,glass,,
Kuwait,None,glass,,
Lao PDR,None,glass,,7.0
Lebanon,None,glass,,4.0
Lebanon,None,glass,,5.0
Liberia,None,glass,,1.0
Libya,None,glass,,3.5
Sri Lanka,None,glass,,1.2
Sri Lanka,None,glass,,0.3
Sri Lanka,None,glass,,2.0
Sri Lanka,None,glass,,0.4
Sri Lanka,None,glass,,1.2
Sri Lanka,None,glass,,4.1
Lithuania,None,glass,,12.5
Lithuania,None,glass,,5.34
Latvia,None,glass,,8.0
Latvia,None,glass,,
Morocco,None,glass,,
Morocco,None,glass,,1.0
Morocco,None,glass,,3.0
Moldova,None,glass,,3.5
Moldova,None,glass,,5.0
Madagascar,None,glass,,
Maldives,None,glass,,3.0
Maldives,None,glass,,3.0
Maldives,None,glass,,2.84
Mexico,None,glass,,2.65
Mexico,None,glass,,4.03
Mexico,None,glass,,3.22
Marshall Islands,None,glass,,3.2
"Macedonia, FYR",None,glass,,1.8
"Macedonia, FYR",None,glass,,5.5
Mali,None,glass,,12.0
Mali,None,glass,,
Myanmar,None,glass,,2.0
Myanmar,None,glass,,1.0
Montenegro,None,glass,,11.5
Montenegro,None,glass,,
Mongolia,None,glass,,4.5
Northern Mariana Islands,None,glass,,
Mozambique,None,glass,,2.0
Mauritania,None,glass,,4.0
Malawi,None,glass,,
Malawi,None,glass,,
Malaysia,None,glass,,1.84
Namibia,None,glass,,13.0
Niger,None,glass,,
Nigeria,None,glass,,
Nigeria,None,glass,,5.0
Nigeria,None,glass,,2.0
Nigeria,None,glass,,3.1
Nigeria,None,glass,,4.0
Nicaragua,None,glass,,3.07
Nicaragua,None,glass,,1.42
Netherlands,None,glass,,8.6
Netherlands,None,glass,,3.0
Norway,None,glass,,4.0
Norway,None,glass,,
Nepal,None,glass,,3.71
Nepal,None,glass,,4.82
Nepal,None,glass,,0.0
Nepal,None,glass,,9.72
Nepal,None,glass,,3.21
Nepal,None,glass,,1.44
Nepal,None,glass,,10.57
Nepal,None,glass,,3.59
Nepal,None,glass,,3.7
Nepal,None,glass,,0.52
Nepal,None,glass,,0.52
Nepal,None,glass,,1.17
New Zealand,None,glass,,1.8
New Zealand,None,glass,,1.5
Oman,None,glass,,
Pakistan,None,glass,,1.5
Pakistan,None,glass,,0.696
Pakistan,None,glass,,7.8
Panama,None,glass,,8.0
Panama,None,glass,,
Panama,None,glass,,
Peru,None,glass,,2.44
Philippines,None,glass,,1.0
Philippines,None,glass,,1.15
Palau,None,glass,,2.0
Papua New Guinea,None,glass,,7.1
Poland,None,glass,,
Poland,None,glass,,8.53
Portugal,None,glass,,5.0
Portugal,None,glass,,5.19
Paraguay,None,glass,,3.5
Paraguay,None,glass,,1.8
Paraguay,None,glass,,4.0
West Bank and Gaza,None,glass,,
Qatar,None,glass,,
Romania,None,glass,,4.5
Romania,None,glass,,7.1
Russian Federation,None,glass,,16.0
Russian Federation,None,glass,,6.3
Russian Federation,None,glass,,3.0
Rwanda,None,glass,,1.36
Rwanda,None,glass,,
Saudi Arabia,None,glass,,3.0
Saudi Arabia,None,glass,,3.2
Senegal,None,glass,,
Solomon Islands,None,glass,,1.1
Sierra Leone,None,glass,,1.2
El Salvador,None,glass,,2.0
Somalia,None,glass,,5.2
Serbia,None,glass,,6.84
Serbia,None,glass,,11.19
South Sudan,None,glass,,5.0
Slovak Republic,None,glass,,32.58
Slovak Republic,None,glass,,15.0
Slovenia,None,glass,,
Sweden,None,glass,,4.0
Sweden,None,glass,,4.5
Syrian Arab Republic,None,glass,,2.9
Togo,None,glass,,
Thailand,None,glass,,2.7
Tajikistan,None,glass,,
Tajikistan,None,glass,,
Turkmenistan,None,glass,,4.0
Timor-Leste,None,glass,,2.0
Tonga,None,glass,,5.9
Tonga,None,glass,,5.9
Tunisia,None,glass,,2.48
Tunisia,None,glass,,2.0
Tunisia,None,glass,,3.0
Turkey,None,glass,,4.4
Turkey,None,glass,,4.9
Tuvalu,None,glass,,9.5
Tanzania,None,glass,,2.9
Tanzania,None,glass,,3.0
Tanzania,None,glass,,1.0
Uganda,None,glass,,0.9
Ukraine,None,glass,,10.5
Ukraine,None,glass,,10.0
Uruguay,None,glass,,5.73
United States,None,glass,,2.3
United States,None,glass,,
United States,None,glass,,
Uzbekistan,None,glass,,
Uzbekistan,None,glass,,3.7
"Venezuela, RB",None,glass,,
Vietnam,None,glass,,2.4
Vietnam,None,glass,,
Vanuatu,None,glass,,7.8
Samoa,None,glass,,2.17
Kosovo,None,glass,,
Kosovo,None,glass,,4.45
"Yemen, Rep.",None,glass,,1.0
South Africa,None,glass,,
South Africa,None,glass,,4.0
South Africa,None,glass,,12.0
South Africa,None,glass,,9.6
South Africa,None,glass,,7.1
Zambia,None,glass,,
Zambia,None,glass,,2.0
Zimbabwe,None,glass,,3.0
Zimbabwe,None,glass,,2.0
Zimbabwe,None,glass,,2.7
Zimbabwe,None,glass,,3.5
Zimbabwe,None,glass,,6.45
Zimbabwe,None,glass,,3.0
Zimbabwe,None,glass,,2.0
Zimbabwe,None,glass,,4.0
Zimbabwe,None,glass,,5.0
,None,glass,,
Afghanistan,None,metal,,0.0175
Afghanistan,None,metal,,0.169
Afghanistan,None,metal,,0.32
Afghanistan,None,metal,,0.5
Afghanistan,None,metal,,0.23
Angola,None,metal,,3.0
Albania,None,metal,,2.0
Albania,None,metal,,0.99
United Arab Emirates,None,metal,,3.0
United Arab Emirates,None,metal,,2.37
Argentina,None,metal,,2.0
Argentina,None,metal,,1.4
Argentina,None,metal,,2.0
Armenia,None,metal,,3.75
Armenia,None,metal,,4.0
American Samoa,None,metal,,7.9
Australia,None,metal,,3.5
Australia,None,metal,,
Australia,None,metal,,5.0
Austria,None,metal,,3.6
Azerbaijan,None,metal,,1.5
Burundi,None,metal,,
Burundi,None,metal,,
Burundi,None,metal,,
Burundi,None,metal,,
Belgium,None,metal,,
Belgium,None,metal,,
Benin,None,metal,,
Benin,None,metal,,1.13
Burkina Faso,None,metal,,
Burkina Faso,None,metal,,4.0
Bangladesh,None,metal,,0.4
Bangladesh,None,metal,,1.04
Bangladesh,None,metal,,0.5
Bangladesh,None,metal,,4.085
Bangladesh,None,metal,,0.04
Bulgaria,None,metal,,
Bulgaria,None,metal,,
Bahrain,None,metal,,
Bosnia and Herzegovina,None,metal,,6.6
Bosnia and Herzegovina,None,metal,,
Belarus,None,metal,,4.23
Belarus,None,metal,,2.6
Belize,None,metal,,4.0
Belize,None,metal,,7.0
Bolivia,None,metal,,1.4
Brazil,None,metal,,4.3
Brazil,None,metal,,1.67
Brazil,None,metal,,2.0
Bhutan,None,metal,,0.4
Bhutan,None,metal,,0.5
Botswana,None,metal,,6.2
Canada,None,metal,,2.8
Canada,None,metal,,
Canada,None,metal,,3.0
Switzerland,None,metal,,
Switzerland,None,metal,,
Chile,None,metal,,1.0
China,None,metal,,0.3
Côte d’Ivoire,None,metal,,2.0
Cameroon,None,metal,,2.4
Cameroon,None,metal,,
Cameroon,None,metal,,
Cameroon,None,metal,,
"Congo, Dem. Rep.",None,metal,,
"Congo, Rep.",None,metal,,1.9
Colombia,None,metal,,0.95
Colombia,None,metal,,0.76
Colombia,None,metal,,1.06
Comoros,None,metal,,
Costa Rica,None,metal,,2.0
Costa Rica,None,metal,,1.1
Cuba,None,metal,,2.0
Cyprus,None,metal,,1.0
Cyprus,None,metal,,
Czech Republic,None,metal,,
Czech Republic,None,metal,,
Germany,None,metal,,6.53
Germany,None,metal,,2.0
Djibouti,None,metal,,
Denmark,None,metal,,
Dominican Republic,None,metal,,2.0
